,album_name,release_date,video_id,feature_image,track_title,track_n
0,Taylor Swift,2006-10-24,GkD20ajVxnY,https://upload.wikimedia.org/wikipedia/zh/0/00/Taylor_Swift_album.jpg,Tim McGraw,1
1,Taylor Swift,2006-10-24,yCMqcFAigRg,https://upload.wikimedia.org/wikipedia/zh/0/00/Taylor_Swift_album.jpg,Picture To Burn,2
2,Taylor Swift,2006-10-24,xKCek6_dB0M,https://upload.wikimedia.org/wikipedia/zh/0/00/Taylor_Swift_album.jpg,Teardrops On My Guitar,3
3,Taylor Swift,2006-10-24,KBlhcmYBXLM,https://upload.wikimedia.org/wikipedia/zh/0/00/Taylor_Swift_album.jpg,A Place In This World,4
4,Taylor Swift,2006-10-24,,https://upload.wikimedia.org/wikipedia/zh/0/00/Taylor_Swift_album.jpg,Cold As You,5
5,Taylor Swift,2006-10-24,,https://upload.wikimedia.org/wikipedia/zh/0/00/Taylor_Swift_album.jpg,The Outside,6
6,Taylor Swift,2006-10-24,,https://upload.wikimedia.org/wikipedia/zh/0/00/Taylor_Swift_album.jpg,Tied Together With A Smile,7
7,Taylor Swift,2006-10-24,,https://upload.wikimedia.org/wikipedia/zh/0/00/Taylor_Swift_album.jpg,Stay Beautiful,8
8,Taylor Swift,2006-10-24,,https://upload.wikimedia.org/wikipedia/zh/0/00/Taylor_Swift_album.jpg,Should've Said No,9
9,Taylor Swift,2006-10-24,,https://upload.wikimedia.org/wikipedia/zh/0/00/Taylor_Swift_album.jpg,Mary’s Song (Oh My My My),10
10,Taylor Swift,2006-10-24,Jb2stN7kH28,https://upload.wikimedia.org/wikipedia/zh/0/00/Taylor_Swift_album.jpg,Our Song,11
11,Taylor Swift,2006-10-24,AlTfYj7q5gQ,https://upload.wikimedia.org/wikipedia/zh/0/00/Taylor_Swift_album.jpg,I’m Only Me When I’m with You,12
12,Taylor Swift,2006-10-24,,https://upload.wikimedia.org/wikipedia/zh/0/00/Taylor_Swift_album.jpg,Invisible,13
13,Taylor Swift,2006-10-24,,https://upload.wikimedia.org/wikipedia/zh/0/00/Taylor_Swift_album.jpg,A Perfectly Good Heart,14
14,Taylor Swift,2006-10-24,,https://upload.wikimedia.org/wikipedia/zh/0/00/Taylor_Swift_album.jpg,Teardrops on My Guitar (Pop Version),15
15,Fearless (Taylor’s Version),2008-11-11,ptSjNWnzpjg,https://upload.wikimedia.org/wikipedia/en/5/5b/Fearless_%28Taylor%27s_Version%29_%282021_album_cover%29_by_Taylor_Swift.png,Fearless (Taylor’s Version),1
16,Fearless (Taylor’s Version),2008-11-11,Pb-K2tXWK4w,https://upload.wikimedia.org/wikipedia/en/5/5b/Fearless_%28Taylor%27s_Version%29_%282021_album_cover%29_by_Taylor_Swift.png,Fifteen (Taylor’s Version),2
17,Fearless (Taylor’s Version),2008-11-11,8xg3vE8Ie_E,https://upload.wikimedia.org/wikipedia/en/5/5b/Fearless_%28Taylor%27s_Version%29_%282021_album_cover%29_by_Taylor_Swift.png,Love Story (Taylor’s Version),3
18,Fearless (Taylor’s Version),2008-11-11,,https://upload.wikimedia.org/wikipedia/en/5/5b/Fearless_%28Taylor%27s_Version%29_%282021_album_cover%29_by_Taylor_Swift.png,Hey Stephen (Taylor’s Version),4
19,Fearless (Taylor’s Version),2008-11-11,D1Xr-JFLxik,https://upload.wikimedia.org/wikipedia/en/5/5b/Fearless_%28Taylor%27s_Version%29_%282021_album_cover%29_by_Taylor_Swift.png,White Horse (Taylor’s Version),5
20,Fearless (Taylor’s Version),2008-11-11,VuNIsY6JdUw,https://upload.wikimedia.org/wikipedia/en/5/5b/Fearless_%28Taylor%27s_Version%29_%282021_album_cover%29_by_Taylor_Swift.png,You Belong With Me (Taylor’s Version),6
21,Fearless (Taylor’s Version),2008-11-11,,https://upload.wikimedia.org/wikipedia/en/5/5b/Fearless_%28Taylor%27s_Version%29_%282021_album_cover%29_by_Taylor_Swift.png,Breathe (Taylor’s Version),7
